id,title,depth,href
13.6,Summary,2,https://r4ds.hadley.nz/logicals.html#summary
14,Numbers,1,https://r4ds.hadley.nz/numbers.html
14.1,Introduction,2,https://r4ds.hadley.nz/numbers.html#introduction
14.1.1,Prerequisites,3,https://r4ds.hadley.nz/numbers.html#prerequisites
14.2,Making numbers,2,https://r4ds.hadley.nz/numbers.html#making-numbers
14.3,Counts,2,https://r4ds.hadley.nz/numbers.html#sec-counts
14.3.1,Exercises,3,https://r4ds.hadley.nz/numbers.html#exercises
14.4,Numeric transformations,2,https://r4ds.hadley.nz/numbers.html#numeric-transformations
14.4.1,Arithmetic and recycling rules,3,https://r4ds.hadley.nz/numbers.html#sec-recycling
14.4.2,Minimum and maximum,3,https://r4ds.hadley.nz/numbers.html#minimum-and-maximum
14.4.3,Modular arithmetic,3,https://r4ds.hadley.nz/numbers.html#modular-arithmetic
14.4.4,Logarithms,3,https://r4ds.hadley.nz/numbers.html#logarithms
14.4.5,Rounding,3,https://r4ds.hadley.nz/numbers.html#sec-rounding
14.4.6,Cutting numbers into ranges,3,https://r4ds.hadley.nz/numbers.html#cutting-numbers-into-ranges
14.4.7,Cumulative and rolling aggregates,3,https://r4ds.hadley.nz/numbers.html#sec-cumulative-and-rolling-aggregates
14.4.8,Exercises,3,https://r4ds.hadley.nz/numbers.html#exercises-1
14.5,General transformations,2,https://r4ds.hadley.nz/numbers.html#general-transformations
14.5.1,Ranks,3,https://r4ds.hadley.nz/numbers.html#ranks
14.5.2,Offsets,3,https://r4ds.hadley.nz/numbers.html#offsets
14.5.3,Consecutive identifiers,3,https://r4ds.hadley.nz/numbers.html#consecutive-identifiers
14.5.4,Exercises,3,https://r4ds.hadley.nz/numbers.html#exercises-2
14.6,Numeric summaries,2,https://r4ds.hadley.nz/numbers.html#numeric-summaries
14.6.1,Center,3,https://r4ds.hadley.nz/numbers.html#center
14.6.2,"Minimum, maximum, and quantiles",3,https://r4ds.hadley.nz/numbers.html#sec-min-max-summary
14.6.3,Spread,3,https://r4ds.hadley.nz/numbers.html#spread
14.6.4,Distributions,3,https://r4ds.hadley.nz/numbers.html#distributions
14.6.5,Positions,3,https://r4ds.hadley.nz/numbers.html#positions
14.6.6,With mutate(),3,https://r4ds.hadley.nz/numbers.html#with-mutate
14.6.7,Exercises,3,https://r4ds.hadley.nz/numbers.html#exercises-3
14.7,Summary,2,https://r4ds.hadley.nz/numbers.html#summary
15,Strings,1,https://r4ds.hadley.nz/strings.html
15.1,Introduction,2,https://r4ds.hadley.nz/strings.html#introduction
15.1.1,Prerequisites,3,https://r4ds.hadley.nz/strings.html#prerequisites
15.2,Creating a string,2,https://r4ds.hadley.nz/strings.html#creating-a-string
15.2.1,Escapes,3,https://r4ds.hadley.nz/strings.html#escapes
15.2.2,Raw strings,3,https://r4ds.hadley.nz/strings.html#sec-raw-strings
15.2.3,Other special characters,3,https://r4ds.hadley.nz/strings.html#other-special-characters
15.2.4,Exercises,3,https://r4ds.hadley.nz/strings.html#exercises
15.3,Creating many strings from data,2,https://r4ds.hadley.nz/strings.html#creating-many-strings-from-data
15.3.1,str_c(),3,https://r4ds.hadley.nz/strings.html#str_c
15.3.2,str_glue(),3,https://r4ds.hadley.nz/strings.html#sec-glue
15.3.3,str_flatten(),3,https://r4ds.hadley.nz/strings.html#str_flatten
15.3.4,Exercises,3,https://r4ds.hadley.nz/strings.html#exercises-1
15.4,Extracting data from strings,2,https://r4ds.hadley.nz/strings.html#extracting-data-from-strings
15.4.1,Separating into rows,3,https://r4ds.hadley.nz/strings.html#separating-into-rows
15.4.2,Separating into columns,3,https://r4ds.hadley.nz/strings.html#sec-string-columns
15.4.3,Diagnosing widening problems,3,https://r4ds.hadley.nz/strings.html#diagnosing-widening-problems
15.5,Letters,2,https://r4ds.hadley.nz/strings.html#letters
15.5.1,Length,3,https://r4ds.hadley.nz/strings.html#length
15.5.2,Subsetting,3,https://r4ds.hadley.nz/strings.html#subsetting
15.5.3,Exercises,3,https://r4ds.hadley.nz/strings.html#exercises-2
15.6,Non-English text,2,https://r4ds.hadley.nz/strings.html#sec-other-languages
15.6.1,Encoding,3,https://r4ds.hadley.nz/strings.html#encoding
15.6.2,Letter variations,3,https://r4ds.hadley.nz/strings.html#letter-variations
15.6.3,Locale-dependent functions,3,https://r4ds.hadley.nz/strings.html#locale-dependent-functions
15.7,Summary,2,https://r4ds.hadley.nz/strings.html#summary
16,Regular expressions,1,https://r4ds.hadley.nz/regexps.html
16.1,Introduction,2,https://r4ds.hadley.nz/regexps.html#introduction
16.1.1,Prerequisites,3,https://r4ds.hadley.nz/regexps.html#prerequisites
16.2,Pattern basics,2,https://r4ds.hadley.nz/regexps.html#sec-reg-basics
16.3,Key functions,2,https://r4ds.hadley.nz/regexps.html#sec-stringr-regex-funs
16.3.1,Detect matches,3,https://r4ds.hadley.nz/regexps.html#detect-matches
16.3.2,Count matches,3,https://r4ds.hadley.nz/regexps.html#count-matches
16.3.3,Replace values,3,https://r4ds.hadley.nz/regexps.html#replace-values
16.3.4,Extract variables,3,https://r4ds.hadley.nz/regexps.html#sec-extract-variables
16.3.5,Exercises,3,https://r4ds.hadley.nz/regexps.html#exercises
16.4,Pattern details,2,https://r4ds.hadley.nz/regexps.html#pattern-details
16.4.1,Escaping,3,https://r4ds.hadley.nz/regexps.html#sec-regexp-escaping
16.4.2,Anchors,3,https://r4ds.hadley.nz/regexps.html#anchors
16.4.3,Character classes,3,https://r4ds.hadley.nz/regexps.html#character-classes
16.4.4,Quantifiers,3,https://r4ds.hadley.nz/regexps.html#sec-quantifiers
16.4.5,Operator precedence and parentheses,3,https://r4ds.hadley.nz/regexps.html#operator-precedence-and-parentheses
16.4.6,Grouping and capturing,3,https://r4ds.hadley.nz/regexps.html#grouping-and-capturing
16.4.7,Exercises,3,https://r4ds.hadley.nz/regexps.html#exercises-1
16.5,Pattern control,2,https://r4ds.hadley.nz/regexps.html#pattern-control
16.5.1,Regex flags,3,https://r4ds.hadley.nz/regexps.html#sec-flags
16.5.2,Fixed matches,3,https://r4ds.hadley.nz/regexps.html#fixed-matches
16.6,Practice,2,https://r4ds.hadley.nz/regexps.html#practice
16.6.1,Check your work,3,https://r4ds.hadley.nz/regexps.html#check-your-work
16.6.2,Boolean operations,3,https://r4ds.hadley.nz/regexps.html#sec-boolean-operations
16.6.3,Creating a pattern with code,3,https://r4ds.hadley.nz/regexps.html#creating-a-pattern-with-code
16.6.4,Exercises,3,https://r4ds.hadley.nz/regexps.html#exercises-2
16.7,Regular expressions in other places,2,https://r4ds.hadley.nz/regexps.html#regular-expressions-in-other-places
16.7.1,tidyverse,3,https://r4ds.hadley.nz/regexps.html#tidyverse
16.7.2,Base R,3,https://r4ds.hadley.nz/regexps.html#base-r
16.8,Summary,2,https://r4ds.hadley.nz/regexps.html#summary
17,Factors,1,https://r4ds.hadley.nz/factors.html
17.1,Introduction,2,https://r4ds.hadley.nz/factors.html#introduction
17.1.1,Prerequisites,3,https://r4ds.hadley.nz/factors.html#prerequisites
17.2,Factor basics,2,https://r4ds.hadley.nz/factors.html#factor-basics
17.3,General Social Survey,2,https://r4ds.hadley.nz/factors.html#general-social-survey
17.3.1,Exercise,3,https://r4ds.hadley.nz/factors.html#exercise
17.4,Modifying factor order,2,https://r4ds.hadley.nz/factors.html#sec-modifying-factor-order
17.4.1,Exercises,3,https://r4ds.hadley.nz/factors.html#exercises
17.5,Modifying factor levels,2,https://r4ds.hadley.nz/factors.html#modifying-factor-levels
17.5.1,Exercises,3,https://r4ds.hadley.nz/factors.html#exercises-1
17.6,Ordered factors,2,https://r4ds.hadley.nz/factors.html#sec-ordered-factors
17.7,Summary,2,https://r4ds.hadley.nz/factors.html#summary
18,Dates and times,1,https://r4ds.hadley.nz/datetimes.html
18.1,Introduction,2,https://r4ds.hadley.nz/datetimes.html#introduction
18.1.1,Prerequisites,3,https://r4ds.hadley.nz/datetimes.html#prerequisites
18.2,Creating date/times,2,https://r4ds.hadley.nz/datetimes.html#sec-creating-datetimes
18.2.1,During import,3,https://r4ds.hadley.nz/datetimes.html#during-import
18.2.2,From strings,3,https://r4ds.hadley.nz/datetimes.html#from-strings
18.2.3,From individual components,3,https://r4ds.hadley.nz/datetimes.html#from-individual-components
18.2.4,From other types,3,https://r4ds.hadley.nz/datetimes.html#from-other-types
18.2.5,Exercises,3,https://r4ds.hadley.nz/datetimes.html#exercises
18.3,Date-time components,2,https://r4ds.hadley.nz/datetimes.html#date-time-components
18.3.1,Getting components,3,https://r4ds.hadley.nz/datetimes.html#getting-components
18.3.2,Rounding,3,https://r4ds.hadley.nz/datetimes.html#rounding
18.3.3,Modifying components,3,https://r4ds.hadley.nz/datetimes.html#modifying-components
18.3.4,Exercises,3,https://r4ds.hadley.nz/datetimes.html#exercises-1
18.4,Time spans,2,https://r4ds.hadley.nz/datetimes.html#time-spans
18.4.1,Durations,3,https://r4ds.hadley.nz/datetimes.html#durations
18.4.2,Periods,3,https://r4ds.hadley.nz/datetimes.html#periods
18.4.3,Intervals,3,https://r4ds.hadley.nz/datetimes.html#sec-intervals
18.4.4,Exercises,3,https://r4ds.hadley.nz/datetimes.html#exercises-2
18.5,Time zones,2,https://r4ds.hadley.nz/datetimes.html#time-zones
18.6,Summary,2,https://r4ds.hadley.nz/datetimes.html#summary
19,Missing values,1,https://r4ds.hadley.nz/missing-values.html
19.1,Introduction,2,https://r4ds.hadley.nz/missing-values.html#introduction
19.1.1,Prerequisites,3,https://r4ds.hadley.nz/missing-values.html#prerequisites
19.2,Explicit missing values,2,https://r4ds.hadley.nz/missing-values.html#explicit-missing-values
19.2.1,Last observation carried forward,3,https://r4ds.hadley.nz/missing-values.html#last-observation-carried-forward
19.2.2,Fixed values,3,https://r4ds.hadley.nz/missing-values.html#fixed-values
19.2.3,NaN,3,https://r4ds.hadley.nz/missing-values.html#nan
19.3,Implicit missing values,2,https://r4ds.hadley.nz/missing-values.html#sec-missing-implicit
19.3.1,Pivoting,3,https://r4ds.hadley.nz/missing-values.html#pivoting
19.3.2,Complete,3,https://r4ds.hadley.nz/missing-values.html#complete
19.3.3,Joins,3,https://r4ds.hadley.nz/missing-values.html#joins
19.3.4,Exercises,3,https://r4ds.hadley.nz/missing-values.html#exercises
19.4,Factors and empty groups,2,https://r4ds.hadley.nz/missing-values.html#factors-and-empty-groups
19.5,Summary,2,https://r4ds.hadley.nz/missing-values.html#summary
20,Joins,1,https://r4ds.hadley.nz/joins.html
20.1,Introduction,2,https://r4ds.hadley.nz/joins.html#introduction
20.1.1,Prerequisites,3,https://r4ds.hadley.nz/joins.html#prerequisites
20.2,Keys,2,https://r4ds.hadley.nz/joins.html#keys
20.2.1,Primary and foreign keys,3,https://r4ds.hadley.nz/joins.html#primary-and-foreign-keys
20.2.2,Checking primary keys,3,https://r4ds.hadley.nz/joins.html#checking-primary-keys
20.2.3,Surrogate keys,3,https://r4ds.hadley.nz/joins.html#surrogate-keys
20.2.4,Exercises,3,https://r4ds.hadley.nz/joins.html#exercises
